episode_number_overall,season,episode_number_in_season,Title,Directed by,Written by,original_air_date,english_air_date,rating,votes,description,type,,One Piece Ep.,IMDB Rating
143,6,31,"""The Eight-Tails vs. Sasuke""Transcription: ""Hachibi' tai 'Sasuke"" (Japanese: 「八尾」対「サスケ」)",Atsushi Nigorikawa,Shin Yoshida,14/01/2010,04/02/2013,8.5,532,"The Taka split up with the Akatsuki to hunt down the remaining Tailed Beast. At the Land of Lightning they go up against Killer Bee, whose attack utilizing Lightning Style and seven blades proves to be more than a match for them.",Manga Canon,,143,"
                            7.6
                        "
144,7,1,"""Wanderer""Transcription: ""Fūraibō"" (Japanese: 風来坊)",Masaaki Kumagai,Junki Takegami,21/01/2010,04/02/2013,6.2,262,"The Leaf ninja fail to capture Itachi and also lose track of Sasuke. Calling off their pursuit, the team is heading back to the village when an urgent assignment from Lady Tsunade comes in. The mission stems from a treaty between the Third Hokage and the En no Gyoja of the Tsuchigumo Clan...",Filler,,144,"
                            7.4
                        "
145,7,2,"""Successor of the Forbidden Jutsu""Transcription: ""Kinjutsu no keishōsha"" (Japanese: 禁術の継承者)",Shigeharu Takahashi,Shin Yoshida,28/01/2010,09/02/2013,6.2,256,"Naruto and his teammates are assigned to escort Hotaru, En no Gyoja's granddaughter, to the Tsuchigumo Clan's village located in the mountains. But Hotaru's mind is still attached to Utakata, who left after Naruto's arrival...",Filler,,145,"
                            7.7
                        "
146,7,3,"""The Successor's Wish""Transcription: ""Keishōsha no omoi"" (Japanese: 継承者の想い)",Hiroshi Kimura,Yuka Miyata,04/02/2010,09/02/2013,6.3,249,"Having arrived at the village, Hotaru parts with Naruto and his team. But the Magaki Troops are one step ahead and threaten Hotaru to hand over the forbidden jutsu. Utakata appears, and Shiranami recognizes him as a bounty listed in the Hidden Mist's bingo book...",Filler,,146,"
                            8.1
                        "
147,7,4,"""Rogue Ninja's Past""Transcription: ""Nukenin no kako"" (Japanese: 抜け忍の過去)",Yuki Kinoshita,Yasuyuki Suzuki,11/02/2010,09/02/2013,6.3,251,"Yamato and Sai recognize their opponents as trackers from the Hidden Mist Village, but Naruto attacks without questioning. The Hidden Mist demands Utakata be handed over to them in exchange for Hotaru.",Filler,,147,"
                            7.8
                        "
148,7,5,"""Heir to Darkness""Transcription: ""Yami no kōkeisha"" (Japanese: 闇の後継者)",Eiko Nishi,Shin Yoshida,18/02/2010,09/02/2013,6.1,247,"Hotaru is brought back to the fort in Mount Katsuragi. Naruto, outraged to learn the forbidden jutsu was embedded inside Hotaru, demands an explanation from Tonbei. But it was none other than Hotaru herself who wished for this.",Filler,,148,"
                            7.7
                        "
149,7,6,"""Parting""Transcription: ""Betsuri"" (Japanese: 別離)",Shuu Watanabe,Masahiro Hikokubo,25/02/2010,16/02/2013,6.3,245,"Believing Shiranami's story, Hotaru writes a parting letter addressed to Utakata and leaves Mount Katsuragi. Meanwhile Naruto, still searching for Shiranami, falls into the Magaki Troops' trap but manages to escape thanks to help from Utakata.",Filler,,149,"
                            7.6
                        "
150,7,7,"""The Forbidden Jutsu Released""Transcription: ""Kinjutsu hatsudō"" (Japanese: 禁術発動)",Kiyomu Fukuda,Yasuyuki Suzuki,04/03/2010,16/02/2013,6.4,250,"Naruto and Utakata successfully enter the Tsuchigumo village thanks to help from Sakura, Sai, and Yamato. Utakata senses the chakra filling the atmosphere and terrain behaving oddly, and together with Naruto, they enter the cave where the anomaly is originating.",Filler,,150,"
                            8.2
                        "
151,7,8,"""Master and Student""Transcription: ""Shitei"" (Japanese: 師弟)",Yuusuke Onoda,Yasuyuki Suzuki,11/03/2010,16/02/2013,6.5,257,Naruto has a strange nightmare several days after their failure to bring Sasuke home. Even after he awakens wisps of the dream keep haunting him.,Filler,,151,"
                            9.3
                        "
152,8,1,"""Somber News""Transcription: ""Hihō"" (Japanese: 悲報)",Naoki Horiuchi,Yuka Miyata,25/03/2010,16/02/2013,8.1,392,"Returning from the mission, Naruto recollects his strange encounter with Itachi. What did the now deceased Itachi wish to tell him? As Naruto ponders this, Kakashi makes an abrupt visit.",Manga Canon,,152,"
                            8.3
                        "
153,8,2,"""Following the Master's Shadow""Transcription: ""Shi no Kage o Otte"" (Japanese: 師の影を追って)",Masaaki Kumagai,Yuka Miyata,25/03/2010,23/02/2013,8.4,457,"Naruto wanders the streets of the Leaf Village, grief stricken over the death of Jiraiya. Unable to overcome his feeling of loss, Naruto traces back through his memories of Jiraiya. What can help the heartbroken Naruto get back on his feet?",Manga Canon,,153,"
                            8
                        "
154,8,3,"""Decryption""Transcription: ""Angō Kaidoku"" (Japanese: 暗号解読)",Shigeharu Takahashi,Shin Yoshida,08/04/2010,23/02/2013,7.8,372,"Naruto and his friends successfully decipher the code Jiraiya left behind with the help of some information Naruto has. The crew immediately calls Fukasaku over, but the message is not enough to solve the mystery of Pain.",Manga Canon,,154,"
                            7.7
                        "
155,8,4,"""The First Challenge""Transcription: ""Daiichi no Kadai"" (Japanese: 第一の課題)",Hiroshi Kimura,Shin Yoshida,08/04/2010,23/02/2013,7.8,372,"At Mount Myoboku, Naruto begins his Sage Jutsu training under Fukasaku. The first challenge is ""Don't move."" Fukasaku explains that an extensive amount of time is necessary in order to take in nature energy.",Manga Canon,,155,"
                            7.6
                        "
156,8,5,"""Surpassing the Master""Transcription: ""Shi o Koeru Toki"" (Japanese: 師を超えるとき)",Yuki Kinoshita,Yuka Miyata,15/04/2010,23/02/2013,7.6,369,"Naruto continues his Sage training at Mount Myoboku, but with very slow progress. Fukasaku runs out of patience and suggests they move on to the next training...",Manga Canon,,156,"
                            7.7
                        "
157,8,6,"""Assault on the Leaf Village!""Transcription: ""Konoha Shūgeki!"" (Japanese: 木ノ葉襲撃!)",Hideyuki Yoshida,Masahiro Hikokubo,22/04/2010,02/03/2013,8,393,"Shikamaru and the others wait for the information Jiraiya brought back to be analyzed. The Hidden Leaf ninja continue their data analysis, when disaster strikes the village",Manga Canon,,157,"
                            7.6
                        "
158,8,7,"""Power to Believe""Transcription: ""Shinjiru Chikara"" (Japanese: 信じる力)",Kiyomu Fukuda,Shin Yoshida,29/04/2010,02/03/2013,8.3,429,"The Leaf Village is under heavy attack from Pain and Konan. Hearing the Akatsuki attack, Tsunade attempts to contact Fukasaku...",Manga Canon,,158,"
                            7.7
                        "
159,8,8,"""Pain vs. Kakashi""Transcription: ""Pein vs Kakashi"" (Japanese: ペインvsカカシ)",Yoshihiro Sugai,Yuka Miyata,06/05/2010,02/03/2013,9.1,1082,"In one area of the village, Kakashi enters battle against Tendo Pain, but he can't keep up with Tendo's mysterious attacks. Shurado joins the fight, and Kakashi struggles with the two-on-one disadvantage.",Manga Canon,,159,"
                            7.8
                        "
160,8,9,"""Mystery of Pain""Transcription: ""Pein no Nazo"" (Japanese: ペインの謎)",Naoki Horiuchi,Yasuyuki Suzuki,13/05/2010,02/03/2013,8.3,440,"The Leaf Village is under heavy attack from the Akatsuki. Underneath the village Danzo takes action to achieve his ambition. Meanwhile, searching through the Rain ninja's mind, Inoichi Yamanaka is about to stumble upon valuable information.",Manga Canon,,160,"
                            7.8
                        "
161,8,10,"""Surname Is Sarutobi. Given Name, Konohamaru!""Transcription: ""Sei wa Sarutobi, Na wa Konohamaru!"" (Japanese: 姓は猿飛、名は木ノ葉丸!)",Shigeharu Takahashi,Masahiro Hikokubo,20/05/2010,09/03/2013,8.4,481,Konohamaru Sarutobi fights Naraka Pain.,Manga Canon,,161,"
                            7.7
                        "
162,8,11,"""Pain to the World""Transcription: ""Sekai ni Itami o"" (Japanese: 世界に痛みを)",Masaaki Kumagai,Shin Yoshida,27/05/2010,09/03/2013,9.1,963,"Tsunade comes face to face with Tendo Pain on the rooftop of the Hokage mansion. When Pain demands the Nine Tails be handed over, Tsunade refuses.",Manga Canon,,162,"
                            7.9
                        "
163,8,12,"""Explode! Sage Mode""Transcription: ""Bakuhatsu! Sennin Mōdo"" (Japanese: 爆発! 仙人モード)",Yuki Kinoshita,Masahiro Hikokubo,03/06/2010,09/03/2013,9.1,965,"Sensing danger at hand, Naruto, along with Fukasaku, rushes back to the Leaf Village from Mount Myoboku. But what they see is the remains of the Leaf Village, leveled beyond recognition.",Manga Canon,,163,"
                            7.9
                        "
164,8,13,"""Danger! Sage Mode Limit Reached""Transcription: ""Pinchi! Kieta Sennin Mōdo"" (Japanese: 危機! 消えた仙人モード)",Yasuhiro Minami,Shin Yoshida,10/06/2010,09/03/2013,9.3,1375,"Naruto hits Pain with his Sage Jutsu-perfected Wind Style Rasen Shuriken. Although he succeeds in defeating Ningendo, the remaining Pain quickly confronts him.",Manga Canon,,164,"
                            7.9
                        "
165,8,14,"""Nine-Tails, Captured!""Transcription: ""Kyūbi Hokaku Kanryō"" (Japanese: 九尾捕獲完了)",Hiroshi Kimura,Shin Yoshida,17/06/2010,16/03/2013,9.2,1182,"Gamabunta and the other toads are defeated while Naruto is captured by Pain. Naruto attempts to fight back with Sage Jutsu, but Gakido sucks out his chakra, forcing him to go out of Sage Mode. Fukasaku and Shima prepare to activate genjutsu, the same one they used to assist Jiraiya, this time to break the Rinnegan's link. Meanwhile, to not let Shizune's death be in vain, Shikamaru and the other Leaf ninja vow to find the real Pain. As they prepare to gather further information, Inoichi Yamanaka comes to an important realization...",Manga Canon,,165,"
                            7.8
                        "
166,8,15,"""Confessions""Transcription: ""Kokuhaku"" (Japanese: 告白)",Toshiyuki Tsuru,Toshiyuki Tsuru,24/06/2010,16/03/2013,9.4,1538,"Fukasaku and Shima fall in battle, leaving Naruto open to be captured by Tendo Pain. Just when all is thought to be lost, Hinata, who was following the battle with her Byakugan, steps in to face Pain.",Manga Canon,,166,"
                            7.6
                        "
167,8,16,"""Planetary Devastation""Transcription: ""Chibaku Tensei"" (Japanese: 地爆天星)",Atsushi Wakabayashi,Yuka Miyata,01/07/2010,16/03/2013,9.4,1691,Naruto loses himself after seeing Hinata taken out right before his eyes. His anger triggers the Nine Tails' chakra to go out of control.,Manga Canon,,167,"
                            7.7
                        "
168,8,17,"""The Fourth Hokage""Transcription: ""Yondaime Hokage"" (Japanese: 四代目火影)",Kiyomu Fukuda,Masahiro Hikokubo,15/07/2010,16/03/2013,9.4,1592,"Naruto meets Minato Namikaze, the Fourth Hokage, inside his inner world.",Manga Canon,,168,"
                            7.7
                        "
169,8,18,"""The Two Students""Transcription: ""Futari no Deshi"" (Japanese: ふたりの弟子)",Yoshihiro Sugai,Shin Yoshida,22/07/2010,23/03/2013,8.5,516,"By chance, Naruto and Sora get Asuma to coach them. Under the guidance of Asuma's iron fist, they immerse themselves in training with Wind Chakra.",Manga Canon,,169,"
                            8.1
                        "
170,8,19,"""Big Adventure! The Quest for the Fourth Hokage's Legacy - Part 1""Transcription: ""Daibōken! Yondaime no Isan o Sagase - Zenpen"" (Japanese: 大冒険! 四代目の遺産を探せ・前編)",Naoki Horiuchi,Junki Takegami,29/07/2010,23/03/2013,6,260,"The story goes back to right before the start of the final rounds of the Chunin Exam. As Naruto trains in preparation for his upcoming match, he hears Jiraiya speak of ""the Fourth Hokage's legacy.""",Filler,,170,"
                            8.1
                        "
171,8,20,"""Big Adventure! The Quest for the Fourth Hokage's Legacy - Part 2""Transcription: ""Daibōken! Yondaime no Isan o Sagase - Kōhen"" (Japanese: 大冒険! 四代目の遺産を探せ・後編)",Yuki Kinoshita,Junki Takegami,29/07/2010,23/03/2013,6,258,Naruto and the others take on the oncoming challenges in order to find the secret technique and break the previous record set by the Fourth Hokage. But Naruto's impulsive action leads the group into various troubles.,Filler,,171,"
                            7.8
                        "
172,8,21,"""Meeting""Transcription: ""Deai"" (Japanese: 出逢い)",Takahiro Okao,Shin Yoshida,05/08/2010,23/03/2013,7.9,393,"Naruto comes face to face with Nagato and Konan. Naruto, wanting to confront the problem of their hate-filled ninja world, asks to hear Nagato's side of the story before coming up with an answer.",Manga Canon,,172,"
                            7.9
                        "
173,8,22,"""Origin of Pain""Transcription: ""Pein Tanjō"" (Japanese: ペイン誕生)",Masaaki Kumagai,Masahiro Hikokubo,12/08/2010,30/03/2013,8.5,493,"To fulfill their dream, Nagato, Yahiko, and Konan walk through the war zone in search of Jiraiya, hoping to learn ninjutsu from him. After completing their training, the three form an organization with Yahiko as its leader.",Manga Canon,,173,"
                            8
                        "
174,8,23,"""Tale of Naruto Uzumaki""Transcription: ""Uzumaki Naruto Monogatari"" (Japanese: うずまきナルト物語)",Kanryou Kishikawa,Yasuyuki Suzuki,19/08/2010,30/03/2013,8.6,577,"Naruto remains silent after learning of Nagato's painful past. Nagato claims true peace cannot exist in this cursed world, dismissing Jiraiya's ideal as nothing more than wishful thinking.",Manga Canon,,174,"
                            8
                        "
175,8,24,"""Hero of the Leaf""Transcription: ""Konoha no Eiyū"" (Japanese: 木ノ葉の英雄)",Hiroshi Kimura,Yuka Miyata,26/08/2010,30/03/2013,9.3,1292,"Nagato, having decided to believe in Naruto's word, performs his last forbidden jutsu: Gedo Art Rinne Rebirth.",Manga Canon,,175,"
                            7.9
                        "
176,9,1,"""Rookie Instructor Iruka""Transcription: ""Shinmai Kyōshi Iruka"" (Japanese: 新米教師イルカ)",Kiyomu Fukuda,Shin Yoshida,02/09/2010,30/03/2013,6.8,263,"The Leaf Village is left in ruins in the wake of Pain's assault on the village. While cleaning through the remains of Ninja Academy, Iruka finds an old pillar and recognizes it as a memoir from Naruto's early years at the academy.",Filler,,176,"
                            8.1
                        "
177,9,2,"""Iruka's Ordeal""Transcription: ""Iruka no Shiren"" (Japanese: イルカの試練)",Naoki Horiuchi,Shin Yoshida,09/09/2010,06/04/2013,6.7,253,"Naruto spends his days competing with Sasuke, the academy's star student, only to screw up and be the laughingstock of the class. Due to the childhood trauma of losing his parents to the Nine-Tailed Fox, Iruka finds it difficult to interact with Naruto as his student.",Filler,,177,"
                            8.1
                        "
178,9,3,"""Iruka's Decision""Transcription: ""Iruka no Ketsui"" (Japanese: イルカの決意)",Atsushi Nigorikawa,Shin Yoshida,16/09/2010,06/04/2013,6.7,253,"Naruto takes up his classmates' dare to venture into the forest and retrieve an item from dead enemy ninja, unaware that the forest is dangerous.",Filler,,178,"
                            8.6
                        "
179,9,4,"""Kakashi Hatake, The Jonin in Charge""Transcription: ""Tantō Jōnin Hatake Kakashi"" (Japanese: 担当上忍はたけカカシ)",Hiroshi Kimura,Junki Takegami,30/09/2010,06/04/2013,6.5,253,"An emergency council is held before the Feudal Lord of the Land of Fire. The topic is to discuss plans to rebuild the Leaf Village, and Danzo strongly urges the council to select a new Hokage to replace Tsunade.",Filler,,179,"
                            8.3
                        "
180,9,5,"""Inari's Courage Put to the Test""Transcription: ""Inari, Tamesareru Yūki"" (Japanese: イナリ、試される勇気)",Gorou Sessha,Yuka Miyata,07/10/2010,06/04/2013,5.8,250,"The Leaf ninja work to rebuild the Hidden Leaf Village. While helping with the restoration, Naruto and Sakura are reunited with two old friends--the carpenter Tazuna and his grandson Inari from the Land of Waves.",Filler,,180,"
                            9
                        "
181,9,6,"""Naruto's School of Revenge""Transcription: ""Naruto, Adauchi Shinanjuku"" (Japanese: ナルト、仇討ち指南塾)",Shuu Watanabe,Yasuyuki Suzuki,14/10/2010,13/04/2013,5.8,246,"Team 7 stops in a town for some rest, where they encounter a man named Tsukado who is out to avenge the death of his relative.",Filler,,181,"
                            8.3
                        "
182,9,7,"""Gaara's Bond""Transcription: ""Gaara 'Kizuna'"" (Japanese: 我愛羅『絆』)",Kanryou Kishikawa,Masahiro Hikokubo,21/10/2010,13/04/2013,6.5,245,"Gaara, recalling a past mission carried out with the Leaf's Team 7, points out that the Leaf Village has Naruto with them.",Filler,,182,"
                            9
                        "
183,9,8,"""Naruto: Outbreak""Transcription: ""Naruto Autobureiku"" (Japanese: ナルト・アウトブレイク)",Maki Odaira,Daisuke Watanabe,28/10/2010,13/04/2013,5.9,242,"Naruto visits Sakura, who is caring for Tsunade. Sakura recalls an incident that took place three years before, in which she collapsed from symptoms that resembled a disease caused by a mysterious virus.",Filler,,183,"
                            9
                        "
184,9,9,"""Deploy! Team Tenten""Transcription: ""Shutsugeki! Tenten-han"" (Japanese: 出撃! テンテン班)",Shigeru Mita,Katsuhiko Chiba,04/11/2010,13/04/2013,5.9,231,Tenten and Neji head for the Leaf Ninja Tool Research Lab to procure ninja tools necessary for rebuilding the Leaf Village.,Filler,,184,"
                            8.1
                        "
185,9,10,"""Animal District""Transcription: ""Animaru Bangaichi"" (Japanese: アニマル番外地)",Kiyomu Fukuda,Katsuhiko Chiba,11/11/2010,20/04/2013,5.2,251,"Condor, the ostrich previously captured by Team 7, now lives in a forest with baby ostriches. Since his last escape, Condor has trained himself to become a ninja ostrich.",Filler,,185,"
                            8.7
                        "
186,9,11,"""Ah, the Medicine of Youth""Transcription: ""Aa, Seishun no Kanpōgan"" (Japanese: ああ、青春の漢方丸)",Masaaki Kumagai,Daisuke Watanabe,18/11/2010,27/04/2013,5.8,231,"After accidentally finishing off Lee's last special youth drink, Naruto asks Guy to make more, only to learn one of its key ingredients, the Jofuku Flower, is out of stock. Naruto is determined to get the Jofuku Flower for Lee's sake.",Filler,,186,"
                            8
                        "
187,9,12,"""Gutsy Master and Student: The Training""Transcription: ""Dokonjō Shitei Shugyōhen"" (Japanese: ド根性師弟修業編)",Atsushi Nigorikawa,Junki Takegami,25/11/2010,04/05/2013,6,233,Jiraiya takes Naruto to a village in the hopes of teaching him how to counter the Sharingan's genjutsu attack.,Filler,,187,"
                            7.9
                        "
188,9,13,"""Record of the Ninja Gutsy Master and Student""Transcription: ""Dokonjō Shitei Ninpūroku"" (Japanese: ド根性師弟忍風録)",Naoki Horiuchi,Junki Takegami,25/11/2010,11/05/2013,6.1,228,"Naruto and Jiraiya attempt to save a village from Kandachi, a former right-hand man to Hanzo of the Hidden Rain.",Filler,,188,"
                            7.9
                        "
189,9,14,"""Sasuke's Paw Encyclopedia""Transcription: ""Sasuke no Nikukyū Taizen"" (Japanese: サスケの肉球大全)",Hiroshi Kimura,Masahiro Hikokubo,02/12/2010,18/05/2013,5.6,231,"Granny Cat requests that Sasuke and Team 7 collect the last cat paw print necessary to complete the ""Paw Encyclopedia.""",Filler,,189,"
                            9
                        "
190,9,15,"""Naruto and the Old Soldier""Transcription: ""Naruto to Rōhei"" (Japanese: ナルトと老兵)",Maki Odaira,Katsuhiko Chiba,09/12/2010,25/05/2013,6.2,238,"Naruto is assigned to a team led by jonin Hayama to patrol the north border of the Leaf Village. One of his teammates is Kosuke, an old man who has been a genin for over fifty years, earning him the title ""Eternal Genin.""",Filler,,190,"
                            8.1
                        "
191,9,16,"""Kakashi Love Song""Transcription: ""Kakashi Koiuta"" (Japanese: カカシ恋歌)",Shuu Watanabe,Yasuyuki Suzuki,16/12/2010,01/06/2013,6.3,236,A beautiful kunoichi spy named Hanare is captured for attempting to gather intel on the Hidden Leaf.,Filler,,191,"
                            8.2
                        "
192,9,17,"""Neji Chronicles""Transcription: ""Neji Gaiden"" (Japanese: ネジ外伝)",Kanryou Kishikawa,Yuka Miyata,23/12/2010,08/06/2013,6,232,"During the Chunin Exam, Neji rests in the medical room, having lost to Naruto. Just as Tenten comes in to check up on him, they see the Leaf Village attacked by Orochimaru and his men.",Filler,,192,"
                            9.1
                        "
193,9,18,"""The Man Who Died Twice""Transcription: ""Nido Shinda Otoko"" (Japanese: 二度死んだ男)",Chiyuki Tanaka,Shin Yoshida,06/01/2011,15/06/2013,6.1,232,"On his way home Naruto comes across a rock pasted with a peculiar talisman, which he tears off without thinking. That night, Naruto is surprised to find an amnesic ghost standing near his bed.",Filler,,193,"
                            8
                        "
194,9,19,"""The Worst Three-Legged Race""Transcription: ""Saiaku no Nininsankyaku"" (Japanese: 最悪の二人三脚)",Gorou Sessha,Yasuyuki Suzuki,13/01/2011,22/06/2013,6.1,239,Team 7 is after a group of thieves who have stolen the precious Golden Statue from the Feudal Lord's sister.,Filler,,194,"
                            8
                        "
195,9,20,"""Team 10's Teamwork""Transcription: ""Renkei, Daijuppan"" (Japanese: 連携、第十班)",Hiroyuki Tsuchiya,Masahiro Hikokubo,20/01/2011,29/06/2013,5.8,231,Team 7 and Team 10 are assigned to help a village that is troubled by bandits.,Filler,,195,"
                            7.9
                        "
196,9,21,"""Drive Towards Darkness""Transcription: ""Yami e no Shissō"" (Japanese: 闇への疾走)",Hiroshi Kimura,Daisuke Watanabe,27/01/2011,06/07/2013,5.9,233,Sasuke remembers meeting a young girl named Naho.,Filler,,196,"
                            7.3
                        "
197,10,1,"""The Sixth Hokage Danzo""Transcription: ""Rokudaime Hokage Danzō"" (Japanese: 六代目火影ダンゾウ)",Masaaki Kumagai,Katsuhiko Chiba,10/02/2011,13/07/2013,7.5,341,Naruto wants to help Karui and Omoi find their master but refuses to tell them what he knows about Sasuke.,Manga Canon,,197,"
                            7.5
                        "
198,10,2,"""Five Kage Summit's Eve""Transcription: ""Gokage Kaidan Zen'ya"" (Japanese: 五影会談前夜)",Atsushi Nigorikawa,Yuka Miyata,10/02/2011,20/07/2013,7.6,337,"Karui and Omoi of the Hidden Cloud press Naruto to give information regarding Sasuke. Naruto realizes they're motivated by wanting to save their captured master, but decides he cannot sell out his friend. Instead, Naruto offers himself as a punching bag for Karui and Omoi to abuse to their hearts' content.",Manga Canon,,198,"
                            7.3
                        "
199,10,3,"""Enter the Five Kage!""Transcription: ""Gokage Tōjō!"" (Japanese: 五影登場!)",Naoki Horiuchi,Katsuhiko Chiba,17/02/2011,27/07/2013,7.5,334,Kage from each nation set out to attend the Five Kage Summit.,Manga Canon,,199,"
                            7.6
                        "
200,10,4,"""Naruto's Plea""Transcription: ""Naruto no Tangan"" (Japanese: ナルトの嘆願)",Shuu Watanabe,Shin Yoshida,24/02/2011,03/08/2013,7.6,346,"To prevent the cycle of hatred bound to occur should Sasuke be killed, Naruto goes to the Raikage and begs him to forgive Sasuke, but the Raikage quickly dismisses the request.",Manga Canon,,200,"
                            7.7
                        "
201,10,5,"""Painful Decision""Transcription: ""Kujū no Ketsudan"" (Japanese: 苦渋の決断)",Maki Odaira,Yasuyuki Suzuki,03/03/2011,10/08/2013,8,354,"Mifune calls for the formation of the Allied Shinobi Forces to counter the Akatsuki and proposes the Hokage to lead them. Meanwhile, Sai reveals Naruto's actions to Sakura.",Manga Canon,,201,"
                            7.5
                        "
202,10,6,"""Racing Lightning""Transcription: ""Hashiru Ikazuchi"" (Japanese: 疾走る雷)",Shigeru Mita,Katsuhiko Chiba,10/03/2011,17/08/2013,8.2,366,"Madara, who has taken an interest in Naruto, makes a sudden appearance before Naruto and reveals the truth behind Itachi's actions. Meanwhile, the samurai learn of Sasuke and his team Taka's entry into the Land of Iron, and battle ensues between the two groups.",Manga Canon,,202,"
                            7.5
                        "
203,10,7,"""Sasuke's Ninja Way""Transcription: ""Sasuke no Nindō"" (Japanese: サスケの忍道)",Kanryou Kishikawa,Yasuyuki Suzuki,17/03/2011,24/08/2013,8.4,401,"The truth behind Itachi's actions leaves Naruto, Kakashi, and Yamato in shock. Meanwhile in the Land of Iron, Sasuke and the Raikage are fighting a battle to the death when Gaara, the Kazekage, intervenes.",Manga Canon,,203,"
                            7.3
                        "
204,10,8,"""Power of the Five Kage""Transcription: ""Gokage no Chikara"" (Japanese: 五影の実力)",Ken'ichi Nishida,Yuka Miyata,24/03/2011,31/08/2013,8.3,378,"Having blocked the combined attacks of Gaara, Temari, Kankuro, and Darui with his Susano'o, Sasuke goes after Danzo.",Manga Canon,,204,"
                            7.5
                        "
205,10,9,"""Declaration of War""Transcription: ""Sensenfukoku"" (Japanese: 宣戦布告)",Kiyomu Fukuda,Masahiro Hikokubo,31/03/2011,07/09/2013,8.2,368,Madara reveals the origin of the tailed beasts; the TEN TAILS.,Manga Canon,,205,"
                            7.5
                        "
206,10,10,"""Sakura's Feelings""Transcription: ""Sakura no Omoi"" (Japanese: サクラの想い)",Hiroshi Kimura,Shin Yoshida,07/04/2011,14/09/2013,7.3,366,"The Kage respond to Madara's declaration of war by forming the Allied Shinobi Forces, with the Raikage as their leader. Meanwhile, Sakura arrives in the Land of Iron to speak with Naruto, but her confession surprises him. Elsewhere, Kisame appears before Killer Bee and his master as an unwelcome guest.",Manga Canon,,206,"
                            7.7
                        "
207,10,11,"""The Tailed Beast vs. The Tailless Tailed Beast""Transcription: ""Bijū VS O no nai Bijū"" (Japanese: 尾獣VS尾のない尾獣)",Naoki Horiuchi,Katsuhiko Chiba,14/04/2011,21/09/2013,8.2,370,"Killer Bee engages in a deadly battle against Kisame, who has come to capture the Eight Tails. Kisame reveals to Killer Bee that his weapon, Samehada, possesses the ability to rob and convert enemy chakra into the wielder's own strength. Now infused with more strength, Kisame shows his true power as the Tailless Tailed Beast. Elsewhere, while in pursuit of Danzo, Ao falls into Foo's deadly trap.",Manga Canon,,207,"
                            7.5
                        "
208,10,12,"""As One's Friend""Transcription: ""Tomo to shite"" (Japanese: 親友として)",Shuu Watanabe,Yasuyuki Suzuki,21/04/2011,28/09/2013,7.7,352,"As Sai rats out on Sakura, Naruto hyperventilates. Meanwhile, Madara and Sasuke make their assault on Danzo and his bodyguards.",Manga Canon,,208,"
                            7.4
                        "
209,10,13,"""Danzo's Right Arm""Transcription: ""Danzō no Migiude"" (Japanese: ダンゾウの右腕)",Yoshihiro Sugai,Daisuke Watanabe,28/04/2011,05/10/2013,8.5,529,"Kakashi races to stop Sakura from fighting Sasuke herself leading Narutoto over think the situation and pass out. Meanwhile, Sasuke battles Danzo, but there's something strange about his opponent.",Manga Canon,,209,"
                            7.6
                        "
210,10,14,"""The Forbidden Visual Jutsu""Transcription: ""Kinjirareta Dōjutsu"" (Japanese: 禁じられた瞳術)",Masato Kitagawa,Shin Yoshida,05/05/2011,12/10/2013,8.4,433,"Danzo's uncanny jutsu prevents Sasuke from landing a clean hit on his enemy. As Karin attempts to analyze Danzo's jutsu, Madara recognizes it as Izanagi, the Uchiha's forbidden Visual Jutsu and ultimate genjutsu technique that enables the user to control the space between fantasy and reality.",Manga Canon,,210,"
                            7.4
                        "
211,10,15,"""Danzo Shimura""Transcription: ""Shimura Danzō"" (Japanese: 志村ダンゾウ)",Ken'ichi NishidaHayato Date,Katsuhiko Chiba,12/05/2011,19/10/2013,8.6,583,"Danzo believes he's won the battle against Sasuke. Little does he realize, Sasuke placed him under genjutsu before they last exchanged blows. Not knowing his Izanagi has already expired, Danzo finds himself severely wounded and beginning to lose control over the First Hokage's cells inside of him. Still determined to survive and achieve his goal, Danzo decides to take Karin as a hostage.",Manga Canon,,211,"
                            7.6
                        "
212,10,16,"""Sakura's Resolve""Transcription: ""Sakura no Kakugo"" (Japanese: サクラの覚悟)",Hideaki Uehara,Yasuyuki Suzuki,19/05/2011,19/10/2013,6.8,325,"Having tracked down Sasuke's whereabouts with Kiba's nose, Sakura attempts to put her allies to sleep and carry out the task of killing Sasuke herself. As Sakura heads toward Sasuke, she begins to recollect her fond memories of Team 7.",Manga Canon,,212,"
                            7.8
                        "
213,10,17,"""Lost Bonds""Transcription: ""Ushinawareta Kizuna"" (Japanese: 失われた絆)",Mitsutoshi Satou,Daisuke Watanabe,26/05/2011,26/10/2013,6.2,325,"Memories from his childhood course through Naruto's mind as he rests to recover from his hyperventilation. Now realizing what it means to gain something dear and then lose it, Naruto sneaks out of the inn to follow behind Sakura and Kakashi to find Sasuke.",Mixed Canon/Filler,,213,"
                            7.3
                        "
214,10,18,"""The Burden""Transcription: ""Seōbeki Omoni"" (Japanese: 背負うべき重荷)",Kiyomu Fukuda,Masahiro Hikokubo,02/06/2011,02/11/2013,7,330,"Sakura tells Sasuke that she wishes to desert the village and join him. A skeptical Sasuke tells Sakura he will believe her if she can finish off Karin. When Sakura hesitates to do so, Sasuke attacks her with Chidori but is stopped by Kakashi, who has arrived in the nick of time.",Manga Canon,,214,"
                            7.6
                        "
